supraregion	method	hemi	index	name	color	opacity
Hypothalamus	F	lh	28	vdc-lh-ventraldc	#a52a2a	1
Hypothalamus	F	rh	60	vdc-rh-ventraldc	#a52a2a	1
Ventricle	F	mid	14	vent-mid-third-ventricle	#ccb68e	1
Ventricle	F	mid	15	vent-mid-fourth-ventricle	#2acca4	1
Ventricle	F	lh	4	vent-lh-lateral-ventricle	#7812ea	1
Ventricle	F	rh	43	vent-rh-lateral-ventricle	#7812ea	1
Ventricle	F	lh	5	vent-lh-inferior-lateral-ventricle	#c43afa	1
Ventricle	F	rh	44	vent-rh-inferior-lateral-ventricle	#c43afa	1
WhiteMatter	F	mid	250	wm-mid-cc-fornix	#ff0000	1
WhiteMatter	F	mid	251	wm-mid-cc-posterior	#000040	1
WhiteMatter	F	mid	252	wm-mid-cc-mid-posterior	#000070	1
WhiteMatter	F	mid	253	wm-mid-cc-central	#0000a0	1
WhiteMatter	F	mid	254	wm-mid-cc-mid-anterior	#0000d0	1
WhiteMatter	F	mid	255	wm-mid-cc-anterior	#0000ff	1
