supraregion	method	hemi	index	name	color	opacity
Subcortical	F	lh	11	subc-lh-caudate	#7abadc	1
Subcortical	F	lh	12	subc-lh-putamen	#ec0db0	1
Subcortical	F	lh	13	subc-lh-pallidum	#0c30ff	1
Subcortical	F	lh	26	subc-lh-accumbensarea	#ffa500	1
Subcortical	R	lh	11	subc-lh-caudate	#7abadc	1
Subcortical	R	lh	12	subc-lh-putamen	#ec0db0	1
Subcortical	R	lh	13	subc-lh-pallidum	#0c30ff	1
Subcortical	R	lh	26	subc-lh-accumbensarea	#ffa500	1
Subcortical	F	rh	50	subc-rh-caudate	#7abadc	1
Subcortical	F	rh	51	subc-rh-putamen	#ec0db0	1
Subcortical	F	rh	52	subc-rh-pallidum	#0d30ff	1
Subcortical	F	rh	58	subc-rh-accumbensarea	#ffa500	1
Subcortical	R	rh	50	subc-rh-caudate	#7abadc	1
Subcortical	R	rh	51	subc-rh-putamen	#ec0db0	1
Subcortical	R	rh	52	subc-rh-pallidum	#0d30ff	1
Subcortical	R	rh	58	subc-rh-accumbensarea	#ffa500	1
