supraregion	method	hemi	index	name	color	opacity
Thalamus	F	lh	10	thal-lh-thalamus	#00760e	1
Thalamus	I	lh	8103	thal-lh-anteroventral	#005500	1
Thalamus	I	lh	8104	thal-lh-central-medial	#aa5500	1
Thalamus	I	lh	8105	thal-lh-central-lateral	#00aa00	1
Thalamus	I	lh	8106	thal-lh-centromedian	#aaaa00	1
Thalamus	I	lh	8108	thal-lh-laterodorsal	#aaff00	1
Thalamus	I	lh	8109	thal-lh-lateral-geniculate	#00007f	1
Thalamus	I	lh	8110	thal-lh-lateral-posterior	#00557f	1
Thalamus	I	lh	8111	thal-lh-limitants-suprageniculate	#aa557f	1
Thalamus	I	lh	8112	thal-lh-mediodorsal-lateral-parvocellular 	#00aa7f	1
Thalamus	I	lh	8113	thal-lh-mediodorsal-medial-magnocellular	#aaaa7f	1
Thalamus	I	lh	8115	thal-lh-medial-geniculate	#aaff7f	1
Thalamus	I	lh	8116	thal-lh-reuniens-medial-ventral	#0000ff	1
Thalamus	I	lh	8117	thal-lh-paracentral	#aa00ff	1
Thalamus	I	lh	8118	thal-lh-parafascicular	#0055ff	1
Thalamus	I	lh	8119	thal-lh-paratenial	#aa55ff	1
Thalamus	I	lh	8120	thal-lh-pulvinar-anterior	#00aaff	1
Thalamus	I	lh	8121	thal-lh-pulvinar-inferior	#aaaaff	1
Thalamus	I	lh	8122	thal-lh-pulvinar-lateral	#00ffff	1
Thalamus	I	lh	8123	thal-lh-pulvinar-medial	#aaffff	1
Thalamus	I	lh	8125	thal-lh-reticular	#ff0000	1
Thalamus	I	lh	8126	thal-lh-ventral-anterior	#555500	1
Thalamus	I	lh	8127	thal-lh-ventral-anterior-magnocellular	#ff5500	1
Thalamus	I	lh	8128	thal-lh-ventral-lateral-anterior	#55aa00	1
Thalamus	I	lh	8129	thal-lh-ventral-lateral-posterior	#ffaa00	1
Thalamus	I	lh	8130	thal-lh-ventromedial	#55ff00	1
Thalamus	I	lh	8133	thal-lh-ventral-posterolateral	#ff00ff	1
Thalamus	M	lh	1	thal-lh-pulvinar	#ff0000	1
Thalamus	M	lh	2	thal-lh-ventral-anterior	#00ff00	1
Thalamus	M	lh	3	thal-lh-mediodorsal	#ffff00	1
Thalamus	M	lh	4	thal-lh-lateral-posterior-ventral-posterior-group	#ff7b00	1
Thalamus	M	lh	5	thal-lh-pulvinar-medial-centrolateral-group	#00ffff	1
Thalamus	M	lh	6	thal-lh-ventrolateral	#ff00ff	1
Thalamus	M	lh	7	thal-lh-ventral-posterior-ventrolateral-group	#0000ff	1
Thalamus	R	lh	10	thal-lh-thalamus	#00760e	1
Thalamus	F	rh	49	thal-rh-thalamus	#00760e	1
Thalamus	I	rh	8203	thal-rh-anteroventral	#005500	1
Thalamus	I	rh	8204	thal-rh-central-medial	#aa5500	1
Thalamus	I	rh	8205	thal-rh-central-lateral	#00aa00	1
Thalamus	I	rh	8206	thal-rh-centromedian	#aaaa00	1
Thalamus	I	rh	8208	thal-rh-laterodorsal	#aaff00	1
Thalamus	I	rh	8209	thal-rh-lateral-geniculate	#00007f	1
Thalamus	I	rh	8210	thal-rh-lateral-posteriorp	#00557f	1
Thalamus	I	rh	8211	thal-rh-limitants-suprageniculate	#aa557f	1
Thalamus	I	rh	8212	thal-rh-mediodorsal-lateral-parvocellular	#00aa7f	1
Thalamus	I	rh	8213	thal-rh-mediodorsal-medial-magnocellular	#aaaa7f	1
Thalamus	I	rh	8215	thal-rh-medial-geniculate	#aaff7f	1
Thalamus	I	rh	8216	thal-rh-reuniens-medial-ventral	#0000ff	1
Thalamus	I	rh	8217	thal-rh-paracentral	#aa00ff	1
Thalamus	I	rh	8218	thal-rh-parafascicular	#0055ff	1
Thalamus	I	rh	8219	thal-rh-paratenial	#aa55ff	1
Thalamus	I	rh	8220	thal-rh-pulvinar-anterior	#00aaff	1
Thalamus	I	rh	8221	thal-rh-pulvinar-inferior	#aaaaff	1
Thalamus	I	rh	8222	thal-rh-pulvinar-lateral	#00ffff	1
Thalamus	I	rh	8223	thal-rh-pulvinar-medial	#aaffff	1
Thalamus	I	rh	8225	thal-rh-reticular	#ff0000	1
Thalamus	I	rh	8226	thal-rh-ventral-anterior	#555500	1
Thalamus	I	rh	8227	thal-rh-ventral-anterior-magnocellular	#ff5500	1
Thalamus	I	rh	8228	thal-rh-ventral-lateral-anterior	#55aa00	1
Thalamus	I	rh	8229	thal-rh-ventral-lateral-posterior	#ffaa00	1
Thalamus	I	rh	8230	thal-rh-ventromedial	#55ff00	1
Thalamus	I	rh	8233	thal-rh-ventral-posterolateral	#ff00ff	1
Thalamus	M	rh	8	thal-rh-pulvinar	#ff0000	1
Thalamus	M	rh	9	thal-rh-ventral-anterior	#00ff00	1
Thalamus	M	rh	10	thal-rh-mediodorsal	#ffff00	1
Thalamus	M	rh	11	thal-rh-lateral-posterior-ventral-posterior-group	#ff7b00	1
Thalamus	M	rh	12	thal-rh-pulvinar-medial-centrolateral-group	#00ffff	1
Thalamus	M	rh	13	thal-rh-ventrolateral	#ff00ff	1
Thalamus	M	rh	14	thal-rh-ventral-posterior-ventrolateral-group	#0000ff	1
Thalamus	R	rh	49	thal-rh-thalamus	#00760e	1
