index	hemi	annotid	parcid	name	color
0	L	16777215	1000	medialwall	#ffffff
1	L	16713023	1001	V1	#3f05ff
2	L	8480566	1002	MST	#366781
3	L	11685438	1003	V6	#3e4eb2
4	L	15282711	1004	V2	#1732e9
5	L	14821391	1005	V3	#0f28e2
6	L	14031886	1006	V4	#0e1cd6
7	L	13184794	1007	V8	#1a2fc9
8	L	1356321	1008	4	#21b214
9	L	1428771	1009	3b	#23cd15
10	L	9015174	1010	FEF	#868f89
11	L	10004109	1011	PEF	#8da698
12	L	3102782	1012	55b	#3e582f
13	L	16136455	1013	V3A	#0739f6
14	L	8732825	1014	RSC	#994085
15	L	12342970	1015	POS2	#ba56bc
16	L	12797458	1016	V7	#1246c3
17	L	10515001	1017	IPS1	#3972a0
18	L	7690553	1018	FFC	#395975
19	L	13512473	1019	V3B	#192fce
20	L	12071168	1020	LO1	#0031b8
21	L	11870482	1021	LO2	#1221b5
22	L	11217698	1022	PIT	#222bab
23	L	6837791	1023	MT	#1f5668
24	L	3085291	1024	A1	#eb132f
25	L	3690362	1025	PSL	#7a4f38
26	L	1454367	1026	SFL	#1f3116
27	L	10059914	1027	PCV	#8a8099
28	L	5003150	1028	STV	#8e574c
29	L	12367253	1029	7Pm	#95b5bc
30	L	2891562	1030	7m	#2a1f2c
31	L	6436433	1031	POS1	#513662
32	L	5978239	1032	23d	#7f385b
33	L	917533	1033	v23ab	#1d000e
34	L	3084607	1034	d23ab	#3f112f
35	L	2755382	1035	31pv	#360b2a
36	L	3187504	1036	5m	#30a330
37	L	8957081	1037	5mv	#99ac88
38	L	12762829	1038	23c	#cdbec2
39	L	4233792	1039	5L	#409a40
40	L	2924869	1040	24dd	#45a12c
41	L	4366199	1041	24dv	#779f42
42	L	8831603	1042	7AL	#73c286
43	L	5673582	1043	SCEF	#6e9256
44	L	8893328	1044	6ma	#90b387
45	L	14742456	1045	7Am	#b8f3e0
46	L	15595177	1046	7PL	#a9f6ed
47	L	7123268	1047	7PC	#44b16c
48	L	10383679	1048	LIPv	#3f719e
49	L	9011506	1049	VIP	#328189
50	L	13422216	1050	MIP	#88cecc
51	L	2539284	1051	1	#14bf26
52	L	4108336	1052	2	#30b03e
53	L	1497135	1053	3a	#2fd816
54	L	2137626	1054	6d	#1a9e20
55	L	2531136	1055	6mp	#409f26
56	L	3319879	1056	6v	#47a832
57	L	7047314	1057	p24pr	#92886b
58	L	6777473	1058	33pr	#816a67
59	L	8553904	1059	a24pr	#b08582
60	L	7966371	1060	p32pr	#a38e79
61	L	1641539	1061	a24	#430c19
62	L	3287386	1062	d32	#5a2932
63	L	5329769	1063	8BM	#695351
64	L	3416159	1064	p32	#5f2034
65	L	68633	1065	10r	#190c01
66	L	4344672	1066	47m	#604b42
67	L	2831925	1067	8Av	#35362b
68	L	3162943	1068	8Ad	#3f4330
69	L	1188651	1069	9m	#2b2312
70	L	1320738	1070	8BL	#222714
71	L	1846054	1071	9p	#262b1c
72	L	1581862	1072	10d	#262318
73	L	5526885	1073	8C	#655554
74	L	4085848	1074	44	#58583e
75	L	2768700	1075	45	#3c3f2a
76	L	2044211	1076	47l	#33311f
77	L	4344909	1077	a47r	#4d4c42
78	L	9950898	1078	6r	#b2d697
79	L	6256510	1079	IFJa	#7e775f
80	L	8691849	1080	IFJp	#89a084
81	L	5726817	1081	IFSp	#616257
82	L	11717052	1082	IFSa	#bcc9b2
83	L	8820106	1083	p9-46v	#8a9586
84	L	13162959	1084	46	#cfd9c8
85	L	8417425	1085	a9-46v	#917080
86	L	8615308	1086	9-46d	#8c7583
87	L	2962487	1087	9a	#37342d
88	L	926478	1088	10v	#0e230e
89	L	5852002	1089	a10p	#624b59
90	L	3817015	1090	10pp	#373e3a
91	L	7760513	1091	11l	#816a76
92	L	4537426	1092	13l	#523c45
93	L	2040616	1093	OFC	#28231f
94	L	2171714	1094	47s	#422321
95	L	13284507	1095	LIPd	#9bb4ca
96	L	8962169	1096	6a	#79c088
97	L	5464666	1097	i6-8	#5a6253
98	L	4807768	1098	s6-8	#585c49
99	L	4229777	1099	43	#918a40
100	L	3251570	1100	OP4	#729d31
101	L	2334307	1101	OP1	#639e23
102	L	3440529	1102	OP2-3	#917f34
103	L	4344016	1103	52	#d04842
104	L	1523122	1104	RI	#b23d17
105	L	5869758	1105	PFcm	#be9059
106	L	5471363	1106	PoI2	#837c53
107	L	1780354	1107	TA2	#822a1b
108	L	8492214	1108	FOP4	#b69481
109	L	6976669	1109	MI	#9d746a
110	L	4276826	1110	Pir	#5a4241
111	L	5458061	1111	AVI	#8d4853
112	L	2892629	1112	AAIC	#55232c
113	L	5806496	1113	FOP1	#a09958
114	L	6523311	1114	FOP3	#af8963
115	L	3382371	1115	FOP2	#639c33
116	L	8838785	1116	PFt	#81de86
117	L	10935432	1117	AIP	#88dca6
118	L	2306097	1118	EC	#313023
119	L	5454166	1119	PreS	#563953
120	L	2636092	1120	H	#3c3928
121	L	11549527	1121	ProS	#573bb0
122	L	3358269	1122	PeEc	#3d3e33
123	L	1714746	1123	STGa	#3a2a1a
124	L	335555	1124	PBelt	#c31e05
125	L	403299	1125	A5	#632706
126	L	4928069	1126	PHA1	#45324b
127	L	7431776	1127	PHA3	#606671
128	L	2241357	1128	STSda	#4d3322
129	L	2570569	1129	STSdp	#493927
130	L	3750727	1130	STSvp	#473b39
131	L	1516067	1131	TGd	#232217
132	L	3595	1132	TE1a	#0b0e00
133	L	6186592	1133	TE1p	#60665e
134	L	3817539	1134	TE2a	#43403a
135	L	3688512	1135	TF	#404838
136	L	7700585	1136	TE2p	#698075
137	L	14679257	1137	PHT	#d9fcdf
138	L	10715992	1138	PH	#5883a3
139	L	4217469	1139	TPOJ1	#7d5a40
140	L	9085596	1140	TPOJ2	#9ca28a
141	L	9540729	1141	TPOJ3	#799491
142	L	12480632	1142	DVT	#7870be
143	L	14991003	1143	PGp	#9bbee4
144	L	11445936	1144	IP2	#b0a6ae
145	L	8419702	1145	IP1	#767980
146	L	13607024	1146	IP0	#70a0cf
147	L	9555387	1147	PFop	#bbcd91
148	L	14876671	1148	PF	#ffffe2
149	L	7498117	1149	PFm	#856972
150	L	3030581	1150	PGi	#353e2e
151	L	3752766	1151	PGs	#3e4339
152	L	10901801	1152	V6A	#2959a6
153	L	10173758	1153	VMV1	#3e3d9b
154	L	10433841	1154	VMV3	#31359f
155	L	5855832	1155	PHA2	#585a59
156	L	8408846	1156	V4t	#0e4f80
157	L	10067292	1157	FST	#5c9d99
158	L	11939343	1158	V3CD	#0f2eb6
159	L	10509878	1159	LO3	#365ea0
160	L	10567235	1160	VMV2	#433ea1
161	L	2954808	1161	31pd	#38162d
162	L	8743311	1162	31a	#8f6985
163	L	8142133	1163	VVC	#353d7c
164	L	923684	1164	25	#24180e
165	L	1385262	1165	s32	#2e2315
166	L	3485772	1166	pOFC	#4c3035
167	L	6383780	1167	PoI1	#a46861
168	L	2390894	1168	Ig	#6e7b24
169	L	6907555	1169	FOP5	#a36669
170	L	4997209	1170	p10p	#59404c
171	L	7371646	1171	p47r	#7e7b70
172	L	2765614	1172	TGv	#2e332a
173	L	1580731	1173	MBelt	#bb1e18
174	L	1774313	1174	LBelt	#e9121b
175	L	272280	1175	A4	#982704
176	L	1450280	1176	STSva	#282116
177	L	2829627	1177	TE1m	#3b2d2b
178	L	3289722	1178	PI	#7a3232
179	L	5717890	1179	a32pr	#823f57
180	L	4858747	1180	p24	#7b234a
