index	hemi	annotid	parcid	name	color
0	R	16777215	1000	medialwall	#ffffff
1	R	16711742	1001	V1	#3e00ff
2	R	8417330	1002	MST	#327080
3	R	11819587	1003	V6	#435ab4
4	R	15349787	1004	V2	#1b38ea
5	R	15215635	1005	V3	#132ce8
6	R	14429969	1006	V4	#112fdc
7	R	13779991	1007	V8	#1744d2
8	R	1751583	1008	4	#1fba1a
9	R	1623336	1009	3b	#28c518
10	R	9870217	1010	FEF	#899b96
11	R	10991261	1011	PEF	#9db6a7
12	R	4877161	1012	55b	#696b4a
13	R	16205843	1013	V3A	#1348f7
14	R	8930709	1014	RSC	#954588
15	R	13463501	1015	POS2	#cd6fcd
16	R	12607516	1016	V7	#1c60c0
17	R	11504959	1017	IPS1	#3f8daf
18	R	8023092	1018	FFC	#346c7a
19	R	14569512	1019	V3B	#2850de
20	R	13124365	1020	LO1	#0d43c8
21	R	11944467	1021	LO2	#1342b6
22	R	12077605	1022	PIT	#254ab8
23	R	7103263	1023	MT	#1f636c
24	R	3017448	1024	A1	#e80a2e
25	R	8950973	1025	PSL	#bd9488
26	R	3095618	1026	SFL	#423c2f
27	R	10326658	1027	PCV	#82929d
28	R	6976395	1028	STV	#8b736a
29	R	12965273	1029	7Pm	#99d5c5
30	R	3485743	1030	7m	#2f3035
31	R	7754579	1031	POS1	#535376
32	R	6436999	1032	23d	#873862
33	R	1641242	1033	v23ab	#1a0b19
34	R	2887740	1034	d23ab	#3c102c
35	R	3281220	1035	31pv	#441132
36	R	3256619	1036	5m	#2bb131
37	R	8496523	1037	5mv	#8ba581
38	R	12830157	1038	23c	#cdc5c3
39	R	4432704	1039	5L	#40a343
40	R	3188549	1040	24dd	#45a730
41	R	4366704	1041	24dv	#70a142
42	R	8043377	1042	7AL	#71bb7a
43	R	7313805	1043	SCEF	#8d996f
44	R	9154710	1044	6ma	#96b08b
45	R	14219689	1045	7Am	#a9f9d8
46	R	14941594	1046	7PL	#9afde3
47	R	6993479	1047	7PC	#47b66a
48	R	11239741	1048	LIPv	#3d81ab
49	R	9668918	1049	VIP	#368993
50	R	12964478	1050	MIP	#7ed2c5
51	R	2934556	1051	1	#1cc72c
52	R	4569395	1052	2	#33b945
53	R	1958188	1053	3a	#2ce11d
54	R	2729247	1054	6d	#1fa529
55	R	3121987	1055	6mp	#43a32f
56	R	4372825	1056	6v	#59b942
57	R	7902360	1057	p24pr	#989478
58	R	6381685	1058	33pr	#756061
59	R	8685232	1059	a24pr	#b08684
60	R	8820144	1060	p32pr	#b09586
61	R	2495049	1061	a24	#491226
62	R	4271725	1062	d32	#6d2e41
63	R	6050434	1063	8BM	#82525c
64	R	5257072	1064	p32	#703750
65	R	525338	1065	10r	#1a0408
66	R	3290191	1066	47m	#4f3432
67	R	4277327	1067	8Av	#4f4441
68	R	2899511	1068	8Ad	#373e2c
69	R	1251627	1069	9m	#2b1913
70	R	1451043	1070	8BL	#232416
71	R	3224894	1071	9p	#3e3531
72	R	1185564	1072	10d	#1c1712
73	R	6183287	1073	8C	#77595e
74	R	6186633	1074	44	#89665e
75	R	3752539	1075	45	#5b4239
76	R	1776179	1076	47l	#331a1b
77	R	4539986	1077	a47r	#524645
78	R	10737599	1078	6r	#bfd7a3
79	R	6847370	1079	IFJa	#8a7b68
80	R	8952962	1080	IFJp	#829c88
81	R	7303292	1081	IFSp	#7c706f
82	R	12900052	1082	IFSa	#d4d6c4
83	R	9015189	1083	p9-46v	#958f89
84	R	12572097	1084	46	#c1d5bf
85	R	10192561	1085	a9-46v	#b1869b
86	R	9930656	1086	9-46d	#a08797
87	R	3618624	1087	9a	#403737
88	R	266752	1088	10v	#001204
89	R	7363432	1089	a10p	#685b70
90	R	3354922	1090	10pp	#2a3133
91	R	7103082	1091	11l	#6a626c
92	R	5789023	1092	13l	#5f5558
93	R	2369065	1093	OFC	#292624
94	R	2499905	1094	47s	#412526
95	R	13089681	1095	LIPd	#91bbc7
96	R	9422967	1096	6a	#77c88f
97	R	7043691	1097	i6-8	#6b7a6b
98	R	5463395	1098	s6-8	#635d53
99	R	4558240	1099	43	#a08d45
100	R	3253111	1100	OP4	#77a331
101	R	2398814	1101	OP1	#5e9a24
102	R	3506825	1102	OP2-3	#898235
103	R	4015558	1103	52	#c6453d
104	R	2905767	1104	RI	#a7562c
105	R	5937589	1105	PFcm	#b5995a
106	R	5668478	1106	PoI2	#7e7e56
107	R	2239369	1107	TA2	#892b22
108	R	9739980	1108	FOP4	#cc9e94
109	R	7766697	1109	MI	#a98276
110	R	4931892	1110	Pir	#34414b
111	R	6312347	1111	AVI	#9b5160
112	R	3484238	1112	AAIC	#4e2a35
113	R	6000033	1113	FOP1	#a18d5b
114	R	7443130	1114	FOP3	#ba9271
115	R	3580769	1115	FOP2	#61a336
116	R	7721320	1116	PFt	#68d175
117	R	11330692	1117	AIP	#84e4ac
118	R	2503468	1118	EC	#2c3326
119	R	5914195	1119	PreS	#533e5a
120	R	2899259	1120	H	#3b3d2c
121	R	11684181	1121	ProS	#5549b2
122	R	3358516	1122	PeEc	#343f33
123	R	2044467	1123	STGa	#33321f
124	R	662976	1124	PBelt	#c01d0a
125	R	206702	1125	A5	#6e2703
126	R	5127740	1126	PHA1	#3c3e4e
127	R	7498316	1127	PHA3	#4c6a72
128	R	2635846	1128	STSda	#463828
129	R	3160669	1129	STSdp	#5d3a30
130	R	4010329	1130	STSvp	#59313d
131	R	1844767	1131	TGd	#1f261c
132	R	3079	1132	TE1a	#070c00
133	R	6843753	1133	TE1p	#696d68
134	R	3882817	1134	TE2a	#413f3b
135	R	4215099	1135	TF	#3b5140
136	R	7898719	1136	TE2p	#5f8678
137	R	13957826	1137	PHT	#c2fad4
138	R	10915910	1138	PH	#4690a6
139	R	5399678	1139	TPOJ1	#7e6452
140	R	9416842	1140	TPOJ2	#8ab08f
141	R	9214817	1141	TPOJ3	#619b8c
142	R	13339005	1142	DVT	#7d89cb
143	R	14538384	1143	PGp	#90d6dd
144	R	11908537	1144	IP2	#b9b5b5
145	R	8485756	1145	IP1	#7c7b81
146	R	14136171	1146	IP0	#6bb3d7
147	R	8964522	1147	PFop	#aac988
148	R	14548991	1148	PF	#ffffdd
149	R	8813728	1149	PFm	#a07c86
150	R	3227190	1150	PGi	#363e31
151	R	5001049	1151	PGs	#594f4c
152	R	11166770	1152	V6A	#3264aa
153	R	10898483	1153	VMV1	#334ca6
154	R	11224362	1154	VMV3	#2a45ab
155	R	6383178	1155	PHA2	#4a6661
156	R	8415501	1156	V4t	#0d6980
157	R	9806921	1157	FST	#49a495
158	R	13388054	1158	V3CD	#1649cc
159	R	11169080	1159	LO3	#386daa
160	R	11357243	1160	VMV2	#3b4cad
161	R	3939150	1161	31pd	#4e1b3c
162	R	8809357	1162	31a	#8d6b86
163	R	8867893	1163	VVC	#355087
164	R	791322	1164	25	#1a130c
165	R	594715	1165	s32	#1b1309
166	R	4011341	1166	pOFC	#4d353d
167	R	6777766	1167	PoI1	#a66b67
168	R	2720364	1168	Ig	#6c8229
169	R	7826104	1169	FOP5	#b86a77
170	R	5457500	1170	p10p	#5c4653
171	R	8026773	1171	p47r	#957a7a
