supraregion	method	hemi	index	name	color
Cerebellum	F	lh	8	cer-lh-cerebellum	#e69422
Cerebellum	F	rh	47	cer-rh-cerebellum	#e69422
Cerebellum	R	lh	1	cer-lh-i_iv	#049494
Cerebellum	R	rh	2	cer-rh-i_iv	#049494
Cerebellum	R	lh	3	cer-lh-v	#fabe77
Cerebellum	R	rh	4	cer-rh-v	#fabe77
Cerebellum	R	lh	5	cer-lh-vi	#a018ce
Cerebellum	R	none	6	cer-both-vermis_vi	#ff5733
Cerebellum	R	rh	7	cer-rh-vi	#a018ce
Cerebellum	R	lh	8	cer-lh-crus_i	#34a853
Cerebellum	R	none	9	cer-both-vermis_crus_i	#33ff57
Cerebellum	R	rh	10	cer-rh-crus_i	#34a853
Cerebellum	R	lh	11	cer-lh-crus_ii	#dfe6fc
Cerebellum	R	none	12	cer-both-vermis_crus_ii	#5733ff
Cerebellum	R	rh	13	cer-rh-crus_ii	#dfe6fc
Cerebellum	R	lh	14	cer-lh-viib	#16394f
Cerebellum	R	none	15	cer-both-vermis_viib	#a3e635
Cerebellum	R	rh	16	cer-rh-viib	#16394f
Cerebellum	R	lh	17	cer-lh-viiia	#c3f7e4
Cerebellum	R	none	18	cer-both-vermis_viiia	#a1ff33
Cerebellum	R	rh	19	cer-rh-viiia	#c3f7e4
Cerebellum	R	lh	20	cer-lh-viiib	#ffd9b3
Cerebellum	R	none	21	cer-both-vermis_viiia	#ffa533
Cerebellum	R	rh	22	cer-rh-viiib	#ffd9b3
Cerebellum	R	lh	23	cer-lh-ix	#ff33a1
Cerebellum	R	none	24	cer-both-vermis_ix	#a3e635
Cerebellum	R	rh	25	cer-rh-ix	#ff33a1
Cerebellum	R	lh	26	cer-lh-x	#ffbe0b
Cerebellum	R	none	27	cer-both-vermis_x	#9a031e
Cerebellum	R	rh	28	cer-rh-x	#ffbe0b
